stop_id,stop_name,stop_lat,stop_lon,location_type
16223,"La Chaya Maya",20.9701000,-89.6243100,0
16232,"C-108 x C-45-B Fracc. Las Américas",21.0850200,-89.6601700,0
16644,"Walmart Paseo de Montejo",20.9856540,-89.6165560,0
16602,"Preparatoria 2 UADY",20.9807920,-89.6540920,0
16379,"IMSS Subdelegación Mérida Norte",20.9954500,-89.6449700,0
17145,"Estación La Plancha",20.9790416,-89.6099049,0
16191,"Glorieta Pilares",21.0737400,-89.6670300,0
16899,"C-80 x 41 Fracc. Ciudad Caucel",21.0010870,-89.6986590,0
16178,"Maternal Ludokids",21.0834165,-89.6576914,0
16536,"Norte Mérida",21.1047883,-89.6445438,0
16342,"C-39 x 30 Col. Centro",20.9832500,-89.6383900,0
16021,"JAPAY Cárcamo Mulsay",20.9572747,-89.6636083,0
16620,"​Circuito Colonias x 67-A",20.9620510,-89.6477980,0
17203,"Hospital Faro del Mayab",21.0441240,-89.6008590,0
17044,"C-50 X 65 Col. Pacabtún",20.9668590,-89.5801040,0
16641,"Av. Pérez Ponce x 52",20.9848170,-89.6138530,0
16606,"Circuito Colonias x 75-C",20.9540730,-89.6490940,0
16565,"C-50 x 49-C Fracc. Francisco de Montejo",21.0330980,-89.6455573,0
15942,"C-46-D x 131 Serapio Rendón",20.9279300,-89.6170590,0
16991,"Itzincab",20.9200400,-89.6971630,0
15965,"Parque La Amistad",20.9979913,-89.5957111,0
16197,"C-69 x 66 Col. Dzitya Polígono Chuburná",21.0590400,-89.6357000,0
14425,"Diamante Opichén",20.9381791,-89.6964550,0
16480,"Preparatoria Estatal No. 8",21.0337100,-89.6522400,0
15981,"Parque Melitón Salazar",20.9424353,-89.6387067,0
17165,"Hospital Faro del Mayab",21.0435670,-89.6012630,0
15973,"Escuela Primaria Elda M. Campos Navarrete",21.0323550,-89.6155620,0
17131,"Mayapán",20.9806085,-89.5938068,0
15937,"Chedraui Selecto Kalia",21.0194453,-89.5957701,0
14478,"Nueva Kukulcán",20.9384158,-89.5843784,0
